origin,target_month,horizon,model,actual,predicted
2023-02-01,2023-03-01,1,Holt-Winters (damped) [reference],43131,39196.17066683154
2023-02-01,2023-03-01,1,Seasonal Naive [reference],43131,31052.0
2023-02-01,2023-03-01,1,Naive [reference],43131,36525.0
2023-02-01,2023-03-01,1,SARIMAX (No Exog),43131,36769.055271872814
2023-02-01,2023-03-01,1,Auto-ETS,43131,35670.38042224581
2023-02-01,2023-04-01,2,Holt-Winters (damped) [reference],38065,38360.81554168135
2023-02-01,2023-04-01,2,Seasonal Naive [reference],38065,27436.0
2023-02-01,2023-04-01,2,Naive [reference],38065,36525.0
2023-02-01,2023-04-01,2,SARIMAX (No Exog),38065,36769.05527187187
2023-02-01,2023-04-01,2,Auto-ETS,38065,35670.38042224581
2023-02-01,2023-05-01,3,Holt-Winters (damped) [reference],44803,38711.34307798845
2023-02-01,2023-05-01,3,Seasonal Naive [reference],44803,29218.0
2023-02-01,2023-05-01,3,Naive [reference],44803,36525.0
2023-02-01,2023-05-01,3,SARIMAX (No Exog),44803,36769.055271872334
2023-02-01,2023-05-01,3,Auto-ETS,44803,35670.38042224581
2023-03-01,2023-04-01,1,Holt-Winters (damped) [reference],38065,40559.93196846187
2023-03-01,2023-04-01,1,Seasonal Naive [reference],38065,27436.0
2023-03-01,2023-04-01,1,Naive [reference],38065,43131.0
2023-03-01,2023-04-01,1,SARIMAX (No Exog),38065,41163.48441763435
2023-03-01,2023-04-01,1,Auto-ETS,38065,40177.93511696011
2023-03-01,2023-05-01,2,Holt-Winters (damped) [reference],44803,41790.19269526863
2023-03-01,2023-05-01,2,Seasonal Naive [reference],44803,29218.0
2023-03-01,2023-05-01,2,Naive [reference],44803,43131.0
2023-03-01,2023-05-01,2,SARIMAX (No Exog),44803,42014.46453812063
2023-03-01,2023-05-01,2,Auto-ETS,44803,40177.93511696011
2023-03-01,2023-06-01,3,Holt-Winters (damped) [reference],44020,42969.93136152068
2023-03-01,2023-06-01,3,Seasonal Naive [reference],44020,33199.0
2023-03-01,2023-06-01,3,Naive [reference],44020,43131.0
2023-03-01,2023-06-01,3,SARIMAX (No Exog),44020,43584.25157647338
2023-03-01,2023-06-01,3,Auto-ETS,44020,40177.93511696011
2023-04-01,2023-05-01,1,Holt-Winters (damped) [reference],44803,39656.13566072595
2023-04-01,2023-05-01,1,Seasonal Naive [reference],44803,29218.0
2023-04-01,2023-05-01,1,Naive [reference],44803,38065.0
2023-04-01,2023-05-01,1,SARIMAX (No Exog),44803,39693.80254429985
2023-04-01,2023-05-01,1,Auto-ETS,44803,38853.57441206663
2023-04-01,2023-06-01,2,Holt-Winters (damped) [reference],44020,41485.0044146124
2023-04-01,2023-06-01,2,Seasonal Naive [reference],44020,33199.0
2023-04-01,2023-06-01,2,Naive [reference],44020,38065.0
2023-04-01,2023-06-01,2,SARIMAX (No Exog),44020,41183.30375091407
2023-04-01,2023-06-01,2,Auto-ETS,44020,38853.57441206663
2023-04-01,2023-07-01,3,Holt-Winters (damped) [reference],36637,40252.10792230998
2023-04-01,2023-07-01,3,Seasonal Naive [reference],36637,30405.0
2023-04-01,2023-07-01,3,Naive [reference],36637,38065.0
2023-04-01,2023-07-01,3,SARIMAX (No Exog),36637,40055.38048933386
2023-04-01,2023-07-01,3,Auto-ETS,36637,38853.57441206663
2023-05-01,2023-06-01,1,Holt-Winters (damped) [reference],44020,44384.06597144952
2023-05-01,2023-06-01,1,Seasonal Naive [reference],44020,33199.0
2023-05-01,2023-06-01,1,Naive [reference],44020,44803.0
2023-05-01,2023-06-01,1,SARIMAX (No Exog),44020,44795.732209814916
2023-05-01,2023-06-01,1,Auto-ETS,44020,42323.60897488586
2023-05-01,2023-07-01,2,Holt-Winters (damped) [reference],36637,44301.778284036416
2023-05-01,2023-07-01,2,Seasonal Naive [reference],36637,30405.0
2023-05-01,2023-07-01,2,Naive [reference],36637,44803.0
2023-05-01,2023-07-01,2,SARIMAX (No Exog),36637,43592.25950164112
2023-05-01,2023-07-01,2,Auto-ETS,36637,42323.60897488586
2023-05-01,2023-08-01,3,Holt-Winters (damped) [reference],47222,45978.56253261267
2023-05-01,2023-08-01,3,Seasonal Naive [reference],47222,33811.0
2023-05-01,2023-08-01,3,Naive [reference],47222,44803.0
